"Rank,",College/University,",",Average Early Career Pay,",",Average Student Loan Debt,",",College Risk Reward Indicator
"216,",George Mason University,",","$51,400 ",",","$27,206 ",",1.89",
"217,",University of South Florida – Main Campus,",","$42,700 ",",","$22,611 ",",1.89",
"218,",Skidmore College,",","$43,200 ",",","$22,887 ",",1.89",
"219,",Southern Polytechnic State University,",","$52,100 ",",","$27,644 ",",1.88",
"220,",Rockhurst University,",","$46,800 ",",","$24,852 ",",1.88",
"221,",William Penn University,",","$41,700 ",",","$22,169 ",",1.88",
"222,",SUNY – Albany,",","$46,600 ",",","$24,779 ",",1.88",
"223,",Bob Jones University,",","$43,400 ",",","$23,092 ",",1.88",
"224,",McKendree University,",","$40,800 ",",","$21,731 ",",1.88",
"225,",Western New England College,",","$53,800 ",",","$28,672 ",",1.88",
"226,",Southern Connecticut State University (SCSU),",","$44,600 ",",","$23,781 ",",1.88",
"227,",Georgia College & State University (GCSU),",","$41,100 ",",","$21,919 ",",1.88",
"228,",Liberty University,",","$38,300 ",",","$20,451 ",",1.87",
"229,",Tuskegee University,",","$49,600 ",",","$26,500 ",",1.87",
"230,",Michigan State University (MSU),",","$48,800 ",",","$26,122 ",",1.87",
"231,",University of Wisconsin (UW) – Madison,",","$49,600 ",",","$26,579 ",",1.87",
"232,",University of Minnesota – Twin Cities,",","$50,000 ",",","$26,796 ",",1.87",
"233,",Illinois Institute of Technology (IIT),",","$59,400 ",",","$31,877 ",",1.86",
"234,",Christian Brothers University,",","$42,400 ",",","$22,759 ",",1.86",
"235,",Minot State University,",","$46,300 ",",","$24,856 ",",1.86",
"236,",University of Maine at Orono,",","$47,900 ",",","$25,726 ",",1.86",
"237,",University of Wisconsin (UW) – Oshkosh Campus,",","$44,600 ",",","$23,989 ",",1.86",
"238,",University of Southern California (USC),",","$53,000 ",",","$28,541 ",",1.86",
"239,",Mount Holyoke College,",","$44,400 ",",","$23,914 ",",1.86",
"240,",New York Institute of Technology (NYIT),",","$54,100 ",",","$29,244 ",",1.85",
"241,",Appalachian State University,",","$40,100 ",",","$21,693 ",",1.85",
"242,",University of Louisville,",","$43,200 ",",","$23,375 ",",1.85",
"243,","Wofford College – Spartanburg, SC",",","$46,200 ",",","$24,999 ",",1.85",
"244,",Northern Arizona University (NAU),",","$43,600 ",",","$23,602 ",",1.85",
"245,",Central Connecticut State University,",","$44,300 ",",","$24,000 ",",1.85",
"246,",University of Louisiana (UL) at Lafayette,",","$44,800 ",",","$24,336 ",",1.84",
"247,",California State University – Sacramento (CSUS),",","$46,900 ",",","$25,482 ",",1.84",
"248,",University of Miami (UM) – Florida,",","$49,300 ",",","$26,793 ",",1.84",
"249,",Ohio State University (OSU) – Main Campus,",","$49,300 ",",","$26,830 ",",1.84",
"250,",New York University (NYU),",","$51,400 ",",","$27,977 ",",1.84",
"251,",Bradley University,",","$50,100 ",",","$27,277 ",",1.84",
"252,",Salisbury University,",","$45,100 ",",","$24,567 ",",1.84",
"253,",Emerson College,",","$43,300 ",",","$23,606 ",",1.83",
"254,",Texas A&M University – Kingsville Campus,",","$54,700 ",",","$29,844 ",",1.83",
"255,",St. Lawrence University,",","$49,100 ",",","$26,792 ",",1.83",
"256,",University of Northern Iowa,",","$42,400 ",",","$23,163 ",",1.83",
"257,",Academy of Art University,",","$46,800 ",",","$25,575 ",",1.83",
"258,",Evergreen State College,",","$38,500 ",",","$21,054 ",",1.83",
"259,","Miami University – Oxford, OH",",","$49,700 ",",","$27,181 ",",1.83",
"260,",University of Central Florida (UCF),",","$42,700 ",",","$23,378 ",",1.83",
"261,",University of Texas at El Paso (UTEP),",","$43,800 ",",","$24,000 ",",1.83",
"262,",Rutgers University – Newark Campus,",","$49,200 ",",","$26,993 ",",1.82",
"263,",University of Louisiana – Monroe Campus,",","$44,300 ",",","$24,344 ",",1.82",
"264,",Fresno Pacific University,",","$40,000 ",",","$21,992 ",",1.82",
"265,",Pennsylvania College of Technology,",","$49,900 ",",","$27,464 ",",1.82",
"266,","Carroll College – Helena, MT",",","$49,000 ",",","$26,996 ",",1.82",
"267,",Georgia Southern University,",","$43,900 ",",","$24,201 ",",1.81",
"268,",University of Hawaii at Manoa,",","$44,000 ",",","$24,277 ",",1.81",
"269,",SUNY – College of Environmental Science and Forestry (SUNY-ESF),",","$45,800 ",",","$25,399 ",",1.80",
"270,",McNeese State University,",","$46,900 ",",","$26,016 ",",1.80",
"271,",University of Alabama – Huntsville Campus,",","$53,000 ",",","$29,421 ",",1.80",
"272,",Cleveland State University,",","$44,600 ",",","$24,856 ",",1.79",
"273,",University of Kansas,",","$45,300 ",",","$25,268 ",",1.79",
"274,",Kansas State University (KSU),",","$47,900 ",",","$26,779 ",",1.79",
"275,",College of the Holy Cross,",","$50,700 ",",","$28,354 ",",1.79",
"276,",The College of William and Mary,",","$45,900 ",",","$25,733 ",",1.78",
"277,",Alfred University,",","$49,600 ",",","$27,856 ",",1.78",
"278,","ITT Technical Institute – Indianapolis, IN",",","$49,600 ",",","$27,860 ",",1.78",
"279,",Auburn University,",","$48,300 ",",","$27,146 ",",1.78",
"280,",University of Idaho,",","$45,800 ",",","$25,753 ",",1.78",
"281,",Lesley University,",","$40,900 ",",","$23,000 ",",1.78",
"282,","Regis University – Denver, CO",",","$50,500 ",",","$28,461 ",",1.77",
"283,",American InterContinental University (AIU) – Online,",","$41,200 ",",","$23,256 ",",1.77",
"284,",University of Illinois at Springfield,",","$41,600 ",",","$23,507 ",",1.77",
"285,",DePaul University,",","$48,600 ",",","$27,498 ",",1.77",
"286,",Trinity College,",","$49,900 ",",","$28,237 ",",1.77",
"287,",University of Oregon,",","$43,300 ",",","$24,508 ",",1.77",
"288,",George Fox University,",","$44,400 ",",","$25,143 ",",1.77",
"289,",Gettysburg College,",","$48,900 ",",","$27,714 ",",1.76",
"290,",Central Washington University (CWU),",","$46,500 ",",","$26,360 ",",1.76",
"291,",Drew University,",","$43,700 ",",","$24,778 ",",1.76",
"292,",The Citadel – Military College of South Carolina *,",","$52,300 ",",","$29,701 ",",1.76",
"293,",SUNY – Geneseo,",","$41,000 ",",","$23,308 ",",1.76",
"294,",Midwestern State University (MSU),",","$44,900 ",",","$25,550 ",",1.76",
"295,",Wichita State University,",","$41,300 ",",","$23,534 ",",1.75",
"296,",Colorado Technical University – Online,",","$44,700 ",",","$25,472 ",",1.75",
"297,",University of Missouri – St. Louis Campus,",","$44,200 ",",","$25,208 ",",1.75",
"298,","Dickinson College – Carlisle, PA",",","$44,500 ",",","$25,392 ",",1.75",
"299,","Embry-Riddle Aeronautical University (ERAU) – Daytona Beach, FL",",","$57,300 ",",","$32,708 ",",1.75",
"300,",Case Western Reserve University,",","$58,400 ",",","$33,343 ",",1.75",
"301,",Montana State University – Main Campus,",","$47,600 ",",","$27,200 ",",1.75",
"302,","Marymount University – Arlington, VA",",","$46,400 ",",","$26,528 ",",1.75",
"303,",Farmingdale State College,",","$44,700 ",",","$25,572 ",",1.75",
"304,",University of Wisconsin (UW) – Stout Campus,",","$47,800 ",",","$27,397 ",",1.74",
"305,",Michigan Technological University,",","$62,800 ",",","$36,041 ",",1.74",
"306,",New Jersey Institute of Technology (NJIT),",","$55,200 ",",","$31,684 ",",1.74",
"307,",University of Missouri – Columbia,",","$44,100 ",",","$25,321 ",",1.74",
"308,",Florida State University (FSU),",","$42,400 ",",","$24,347 ",",1.74",
"309,","Oakland University – Rochester Hills, MI",",","$46,500 ",",","$26,724 ",",1.74",
"310,",University of Memphis (U of M),",","$43,900 ",",","$25,244 ",",1.74",
"311,",University of South Carolina – Upstate Campus,",","$39,400 ",",","$22,660 ",",1.74",
"312,",Westfield State University,",","$45,700 ",",","$26,326 ",",1.74",
"313,",West Virginia University (WVU) – Main Campus,",","$47,300 ",",","$27,332 ",",1.73",
"314,",University of Maryland – Baltimore Campus,",","$57,400 ",",","$33,184 ",",1.73",
"315,",Northwestern State University,",","$40,600 ",",","$23,476 ",",1.73",
"316,",California State University – Stanislaus,",","$43,500 ",",","$25,208 ",",1.73",
"317,",Catholic University of America,",","$48,400 ",",","$28,072 ",",1.72",
"318,",University of Cincinnati (UC),",","$48,600 ",",","$28,228 ",",1.72",
"319,",California State University – Northridge (CSUN),",","$43,000 ",",","$24,992 ",",1.72",
"320,",Towson University,",","$44,600 ",",","$25,926 ",",1.72",
"321,",Babson College,",","$60,700 ",",","$35,290 ",",1.72",
"322,",University of Tennessee,",","$45,300 ",",","$26,344 ",",1.72",
"323,",Clemson University,",","$51,900 ",",","$30,213 ",",1.72",
"324,",Widener University – Main Campus,",","$46,000 ",",","$26,822 ",",1.72",
"325,",Iowa State University,",","$49,500 ",",","$28,880 ",",1.71",
